work_id,work_group_id,person_id,canonical_title,title_english,canonical_title_normalized,work_type,original_language,authorship_status,editorial_intervention_status,composition_date_raw,composition_date_normalized,first_publication_date_raw,first_publication_date_normalized,is_posthumous,parent_work_id,work_status,best_expression_id,metadata_confidence,notes
W001,WG001,P001,"Der isolirte Staat in Beziehung auf Landwirthschaft und Nationalökonomie. Erster Theil","The Isolated State in Relation to Agriculture and Political Economy. Part One","Der isolirte Staat Part 1",book_part,de,confirmed,none,"before 1826",,"1826","1826",false,,seeded,,high,"Part 1: Untersuchungen ueber den Einfluss den die Getreidepreise der Reichthum des Bodens und die Abgaben auf den Ackerbau ausueben. First ed Hamburg 1826; 2nd ed Rostock 1842."
W002,WG001,P001,"Der isolirte Staat. Zweiter Theil, Erste Abtheilung: Der naturgemäße Arbeitslohn und dessen Verhältniß zum Zinsfuß und zur Landrente","The Isolated State. Part Two, Section One: The Natural Wage and Its Relation to the Rate of Interest and to Rent","Der isolirte Staat Part 2 Section 1",book_part,de,confirmed,none,"before 1850",,"1850","1850",false,,seeded,,high,"Part 2 Section 1. Published Rostock 1850 during Thuenen's lifetime."
W003,WG001,P001,"Der isolirte Staat. Zweiter Theil, Zweite Abtheilung","The Isolated State. Part Two, Section Two","Der isolirte Staat Part 2 Section 2",book_part,de,confirmed,posthumous_compilation,,"","1863","1863",true,,seeded,,high,"Part 2 Section 2. Published posthumously 1863. Editor to be verified."
W004,WG001,P001,"Der isolirte Staat. Dritter Theil: Grundsätze zur Bestimmung der Bodenrente, der vortheilhaftesten Umtriebszeit und des Werthes der Holzbestände von verschiedenem Alter für Kieferwaldungen","The Isolated State. Part Three: Principles for Determining Ground Rent, the Most Advantageous Rotation Period, and the Value of Timber Stands of Different Ages for Pine Forests","Der isolirte Staat Part 3",book_part,de,confirmed,posthumous_compilation,,"","1863","1863",true,,seeded,,high,"Part 3. Published posthumously 1863."
W005,,P001,"Beschreibung der Landwirthschaft in dem Dorfe Großen-Flottbeck","Description of Agriculture in the Village of Grossen-Flottbeck",essay,de,confirmed,none,"before 1803",,"1803","1803",false,,seeded,,medium,"Early agricultural description. Exact publication venue to be verified."
W006,WG002,P001,"Ueber die Einführung eines Kreditsystems in Mecklenburg","On the Introduction of a Credit System in Mecklenburg","Ueber die Einfuehrung eines Kreditsystems in Mecklenburg",periodical_article,de,confirmed,none,"before 1817",,"1817","1817",false,,seeded,,high,"Published in Neue Annalen Vol. 1/2 Haelfte (1817) pp. 401-545. Corrected from Forscherleben bibliography."
W007,WG002,P001,"Ueber die quantitative Wirkung des Dungs","On the Quantitative Effect of Manure","Ueber die quantitative Wirkung des Dungs",periodical_article,de,confirmed,none,"before 1821",,"1821","1821",false,,seeded,,high,"Published in Neue Annalen der Mecklenburgischen Landwirthschafts-Gesellschaft Vol. 8 (1821) pp. 166-221."
W008,WG002,P001,"Vorschlag zur Errichtung einer Deposital-Zettelbank in Mecklenburg","Proposal for the Establishment of a Deposit and Note Bank in Mecklenburg","Vorschlag zur Errichtung einer Deposital-Zettelbank in Mecklenburg",periodical_article,de,confirmed,none,"before 1831",,"1831","1831",false,,seeded,,high,"Published in Neue Annalen der Mecklenburgischen Landwirthschafts-Gesellschaft Vol. 17 (1831) pp. 1-10."
W009,WG002,P001,"Einige Fragen, die Statik des Landbaus betreffend","Some Questions Concerning the Statics of Agriculture","Einige Fragen die Statik des Landbaus betreffend",periodical_article,de,confirmed,none,"before 1834",,"1834","1834",false,,seeded,,high,"Published in Neue Annalen der Mecklenburgischen Landwirthschafts-Gesellschaft Vol. 19 (1834) pp. 108-134."
W010,WG001,P001,"Bestimmungsgründe für Arbeitslohn und Unternehmergewinn","Determinants of Wages and Entrepreneurial Profit","Bestimmungsgruende fuer Arbeitslohn und Unternehmergewinn",book_fragment,de,confirmed,none,"before 1848",,"1848","1848",false,,seeded,,medium,"Fragment from the then-unpublished Part 2 of Der isolirte Staat, published separately 1848. Exact venue to verify."
